State,District,PC1,PC2,PC3,Cluster_ID
Uttar Pradesh,Bareilly,2.65273351507097,0.6741152533890349,-1.511762443995549,0
Uttar Pradesh,Pilibhit,1.160280026113819,1.767378118087378,-1.344695823627867,0
Uttar Pradesh,Shahjahanpur,1.7485276684095146,1.336788719761424,-1.4130863835177172,0
Uttar Pradesh,Kheri,2.4113581037205027,0.8504235719375505,-1.4807009589963869,0
Uttar Pradesh,Sitapur,2.714701728087101,0.6278162983391988,-1.5114625278364755,0
Uttar Pradesh,Hardoi,2.537334005614246,0.7562901827735161,-1.479997721371192,0
Uttar Pradesh,Unnao,1.9361336622624865,1.1965361003410413,-1.411502293455507,0
Uttar Pradesh,Lucknow,3.2014684760860916,0.2616985313958805,-1.4896500269578208,0
Uttar Pradesh,Rae Bareli,2.147881569014545,1.0407846241441292,-1.4300880984370643,0
Uttar Pradesh,Farrukhabad,1.1232187419603807,1.7933267155969643,-1.3309589281157936,0
Uttar Pradesh,Kannauj,0.9987169111929864,1.884151001585884,-1.3140116911443214,0
Uttar Pradesh,Etawah,0.9949410336348636,1.8859561020902555,-1.3059105273861036,0
Uttar Pradesh,Auraiya,0.8506593772207873,1.9920859949667136,-1.2932729374697356,0
Uttar Pradesh,Kanpur Dehat,1.1315244410028693,1.7858091815179078,-1.3204338038984775,0
Uttar Pradesh,Kanpur Nagar,3.2597444174067736,0.2175696115771017,-1.48466410706062,0
Uttar Pradesh,Jalaun,1.041871790010276,1.8520277480757552,-1.3147578089670298,0
Uttar Pradesh,Jhansi,1.2775098334764794,1.6783948090135934,-1.332970849469058,0
Uttar Pradesh,Lalitpur,0.6386248246121056,2.1500016063515783,-1.290271696243421,0
Uttar Pradesh,Hamirpur,0.601747192443856,2.1762101128217917,-1.2797075159650118,0
Uttar Pradesh,Mahoba,0.4297857904915825,2.3028787461013662,-1.266069774227716,0
Uttar Pradesh,Banda,1.0439192882791926,1.8520122934009795,-1.3268495297458391,0
Uttar Pradesh,Chitrakoot,0.4953267668911091,2.2550026766812006,-1.2744812070396667,0
Uttar Pradesh,Fatehpur,1.6218084924895717,1.427256224031717,-1.380059406826573,0
Uttar Pradesh,Pratapgarh,2.0571780387721637,1.1065349747498,-1.4144008891182944,0
Uttar Pradesh,Kaushambi,0.8695758465709074,1.9808786421194216,-1.3165637395380696,0
Uttar Pradesh,Allahabad,3.9909788198439737,-0.3154395752963276,-1.5876162737955892,0
Uttar Pradesh,Bara Banki,1.949310129038354,1.188716255707732,-1.4276199047329037,0
Uttar Pradesh,Faizabad,1.5295875375619103,1.4946376243645805,-1.368353874734292,0
Uttar Pradesh,Ambedkar Nagar,1.5217265640684552,1.4995514743927567,-1.3607248753501675,0
Uttar Pradesh,Sultanpur,2.437879202403791,0.8272602114436955,-1.4538140730947169,0
Uttar Pradesh,Bahraich,1.8770335048236224,1.2464740939890182,-1.45799417512279,0
Uttar Pradesh,Shrawasti,0.4845113642367707,2.264927610095977,-1.2892723369404668,0
Uttar Pradesh,Balrampur,1.101419617200435,1.813474333254538,-1.3619164800322665,0
Uttar Pradesh,Gonda,2.006639080723884,1.1478453522214564,-1.443020729350576,0
Uttar Pradesh,Siddharthnagar,1.4443727501822612,1.560225594055462,-1.3841144426743843,0
Uttar Pradesh,Basti,1.4968614302111558,1.5192604793566673,-1.3698856680777562,0
Uttar Pradesh,Sant Kabir Nagar,0.9873577592675294,1.89354847930572,-1.3213436934457237,0
Uttar Pradesh,Mahrajganj,1.5916226783866765,1.4507790125456406,-1.3879552320380428,0
Uttar Pradesh,Gorakhpur,2.919896223962884,0.4722539139532082,-1.4924622830798515,0
Uttar Pradesh,Kushinagar,2.2007204724815357,1.0031054139282678,-1.4442080157801689,0
Uttar Pradesh,Deoria,1.9873466036998304,1.1577571153137056,-1.407132995604935,0
Uttar Pradesh,Azamgarh,3.021760918235547,0.3977475162780052,-1.5047622974750865,0
Uttar Pradesh,Mau,1.3851233036852737,1.600027472540993,-1.3487129784825855,0
Uttar Pradesh,Ballia,2.085486340439162,1.085585497790893,-1.4158685628782128,0
Uttar Pradesh,Jaunpur,2.956213397697999,0.4455734572581604,-1.4959112217076258,0
Uttar Pradesh,Ghazipur,2.3501170180633975,0.8910630351856724,-1.4401110726600912,0
Uttar Pradesh,Chandauli,1.191638556014254,1.742602096975747,-1.3337811359987248,0
Uttar Pradesh,Varanasi,2.4805212948338395,0.7933751847750228,-1.437421745696081,0
Uttar Pradesh,Sant Ravidas Nagar (Bhadohi),0.9130165792403004,1.9477738033437364,-1.3111709085459695,0
Uttar Pradesh,Mirzapur,1.5273838429249855,1.496665141124111,-1.371409678721874,0
Uttar Pradesh,Sonbhadra,1.058086594137174,1.8421966979552924,-1.3329293858010172,0
Uttar Pradesh,Etah,1.0624555276243564,1.837665307848612,-1.3227815528224764,0
Uttar Pradesh,Kanshiram Nagar,0.7624400753942335,2.059507522924762,-1.3057616582566636,0
Bihar,Pashchim Champaran,0.7704647029271888,-1.0879096440379314,-0.7433388252744569,1
Bihar,Purba Champaran,1.474921663200159,-1.603617537129686,-0.8248018833802343,1
Bihar,Sheohar,-1.2231590633214646,0.3717790494285323,-0.5146161649482028,2
Bihar,Sitamarhi,0.4103935006508133,-0.8231441038128345,-0.7110521384348983,1
Bihar,Madhubani,1.1844569458719945,-1.392823804823875,-0.7764671051556185,1
Bihar,Supaul,-0.2447145213190016,-0.3451257282431633,-0.6228057469342738,2
Bihar,Araria,0.0565498825241128,-0.5644878380404655,-0.667096541708131,1
Bihar,Kishanganj,-0.5965402373724238,-0.0869676286420362,-0.5869077164502318,2
Bihar,Purnia,0.2962699486651589,-0.7391833039177181,-0.701171458399862,1
Bihar,Katihar,0.1971355984997801,-0.6670265773395141,-0.6863830984152229,1
Bihar,Madhepura,-0.434088672928807,-0.2052930997929205,-0.6104847804987609,2
Bihar,Saharsa,-0.4871098968242604,-0.1666665270165376,-0.6028479943703416,2
Bihar,Darbhanga,0.8016630184028565,-1.1114373308727443,-0.7414443651858539,1
Bihar,Muzaffarpur,1.4880787005303937,-1.617726242147817,-0.790546193293267,1
Bihar,Gopalganj,0.0637965075587793,-0.573451156406555,-0.6386990828052785,1
Bihar,Siwan,0.6378791376372096,-0.9962399736682496,-0.6849204960646248,1
Bihar,Saran,0.9878940918912964,-1.2518735061464386,-0.7301907141834686,1
Bihar,Vaishali,0.6968021998905015,-1.0384359009415192,-0.6992427501916314,1
Bihar,Samastipur,1.0944861992146702,-1.328038015565692,-0.7574433440418522,1
Bihar,Begusarai,0.3025352272521694,-0.7480282818794752,-0.6678650740749946,1
Bihar,Khagaria,-0.5930282565014026,-0.0899487315929592,-0.5840364757717986,2
Bihar,Bhagalpur,0.3402976579583729,-0.7756055171532842,-0.6727697111960758,1
Bihar,Banka,-0.3525152619695096,-0.2664343977614064,-0.6085355720067737,2
Bihar,Munger,-0.6855154792949198,-0.0242879673918349,-0.5569919564233378,2
Bihar,Lakhisarai,-0.9772670775523116,0.1909065827808548,-0.5361488468140196,2
Bihar,Sheikhpura,-1.206634982207001,0.3590219163718567,-0.5112490932644257,2
Bihar,Nalanda,0.2529921817925881,-0.7119134900605459,-0.6609059680286457,1
Bihar,Patna,2.3754761151125963,-2.273363223187271,-0.8451763892218923,1
Bihar,Bhojpur,0.2399422583529899,-0.7041460421559463,-0.6451245770355628,1
Bihar,Buxar,-0.4607523539236703,-0.1892892948383266,-0.5793054892968003,2
Bihar,Kaimur (Bhabua),-0.5271754120314115,-0.1402462679347852,-0.5749573538642063,2
Bihar,Rohtas,0.4319139429512225,-0.8458815779543063,-0.6577351659256567,1
Bihar,Aurangabad,0.0997512981921208,-0.6009105107690079,-0.6337615144127662,1
Bihar,Gaya,1.2245440486416674,-1.4244392284136091,-0.762969412261341,1
Bihar,Nawada,-0.2177410728175055,-0.3656345380595309,-0.619831371762837,2
Bihar,Jamui,-0.5104419149473137,-0.1510084569398871,-0.5887822250820982,2
Bihar,Jehanabad,-0.8721080440948584,0.1132323026982569,-0.5427865391518554,2
Bihar,Arwal,-1.152214017853003,0.3188263242517513,-0.5146978219784266,2
Sikkim,North  District,-2.023085418354847,-0.0263812080368436,0.1055830033396219,2
Sikkim,West District,-1.9554285672585856,-0.0761775173769112,0.0998939997688642,2
Sikkim,South District,-1.944520251823067,-0.0842696155645025,0.0994837279827364,2
Sikkim,East District,-1.836944033228967,-0.1635968154480181,0.0916345815904352,2
Arunachal Pradesh,Tawang,-2.0360072543407832,-0.0413727397448134,0.0830978492083416,2
Arunachal Pradesh,West Kameng,-2.011568575720355,-0.0593532625902743,0.0809896894999142,2
Arunachal Pradesh,East Kameng,-2.018839419705051,-0.0539359739703003,0.0810747926614397,2
Arunachal Pradesh,Papum Pare,-1.9388673323673336,-0.1129604137308908,0.0756605236170463,2
Arunachal Pradesh,Upper Subansiri,-2.0134585805694356,-0.0579329416360211,0.0809148362191954,2
Arunachal Pradesh,West Siang,-1.992485022124145,-0.0733686159637701,0.0791421927610874,2
Arunachal Pradesh,East Siang,-1.9984578225995175,-0.0690407364856698,0.0801892681910488,2
Arunachal Pradesh,Upper Siang,-2.045599052155446,-0.0343341910414565,0.0840733058286857,2
Arunachal Pradesh,Changlang,-1.974740275878646,-0.0862662658561355,0.0763498038583713,2
Arunachal Pradesh,Tirap,-2.001496973450782,-0.0665671192508707,0.0785527265697329,2
Arunachal Pradesh,Lower Subansiri,-2.008953516398021,-0.0613409397968954,0.0812729439744179,2
Arunachal Pradesh,Kurung Kumey,-2.0148761371024073,-0.0567417381626689,0.0798523812780754,2
Arunachal Pradesh,Dibang Valley,-2.0629851985386676,-0.0215865502008048,0.0859251102241501,2
Arunachal Pradesh,Lower Dibang Valley,-2.0314270777008128,-0.0447742222048641,0.082955771223526,2
Arunachal Pradesh,Lohit,-1.970415190284062,-0.089567469985306,0.0769282069900005,2
Arunachal Pradesh,Anjaw,-2.055178350622513,-0.0272980317272019,0.0849932870319358,2
Nagaland,Mon,-1.9123983687845196,-0.1318676720643002,0.0692147393552866,2
Nagaland,Mokokchung,-1.911777563124716,-0.133114754658615,0.0754771100593445,2
Nagaland,Zunheboto,-1.9617086059018312,-0.0961611027186799,0.0780472348849288,2
Nagaland,Wokha,-1.9388214850803052,-0.1130871891193183,0.0767690349197515,2
Nagaland,Dimapur,-1.7808687203563769,-0.2293985618780525,0.0639358307485674,2
Nagaland,Phek,-1.9517447165691888,-0.1033686895223039,0.0762027740316243,2
Nagaland,Tuensang,-1.9333309299672687,-0.1168103903210118,0.0737667179753281,2
Nagaland,Longleng,-2.0337885651441523,-0.0429902216450094,0.083156314050942,2
Nagaland,Kiphire,-2.019070056994837,-0.0537764036375787,0.08154446100888,2
Nagaland,Kohima,-1.864529055590031,-0.1677698210481746,0.0705416652237361,2
Nagaland,Peren,-2.00010786300807,-0.067799590340666,0.0804835869322998,2
Manipur,Senapati,-1.7487523592406549,-0.2470185351813595,0.0510164195534502,2
Manipur,Tamenglong,-1.968960884897178,-0.0854555084659153,0.0736346975020363,2
Manipur,Churachandpur,-1.860807877043295,-0.1652636250893185,0.0661877110533115,2
Manipur,Bishnupur,-1.89539028656074,-0.1396615241208137,0.067904844466411,2
Manipur,Thoubal,-1.7672246217205567,-0.2338656149770187,0.0561091267060654,2
Manipur,Imphal West,-1.6663992779821806,-0.3086668960274005,0.0523663610574656,2
Manipur,Imphal East,-1.725312057038864,-0.2650424821397542,0.0552115249265824,2
Manipur,Ukhrul,-1.9291699855168756,-0.1148986140074475,0.0715394529165321,2
Manipur,Chandel,-1.9648466171666863,-0.0885131451874037,0.0735243574283689,2
Mizoram,Mamit,-2.00410731030004,-0.0641262364315809,0.0806142669665734,2
Mizoram,Kolasib,-2.001969249324264,-0.0657745622294589,0.0810313345398633,2
Mizoram,Aizawl,-1.7393929399177697,-0.2596427849674819,0.0638166834613884,2
Mizoram,Champhai,-1.9680159362991596,-0.090830996679257,0.0787066549180992,2
Mizoram,Serchhip,-2.0150502599083233,-0.0561620181265138,0.0822531149706696,2
Mizoram,Lunglei,-1.944058928168274,-0.1084238084851286,0.076373716301787,2
Mizoram,Lawngtlai,-1.9910509461006407,-0.0735451510492165,0.0779921363182421,2
Mizoram,Saiha,-2.0246353111970805,-0.0490405242804231,0.0825254667385111,2
Tripura,West Tripura,-0.6684370757078899,-0.9604884492480216,-0.0576066643058064,2
Tripura,South Tripura,-1.361354806873584,-0.4490943185584934,-0.010512409113583,2
Tripura,Dhalai,-1.7417954094662842,-0.1687545458021294,0.0188352704671718,2
Tripura,North Tripura,-1.495649787310393,-0.3502234910090841,0.0005561667580786,2
Meghalaya,West Garo Hills,-1.640135943995512,-0.3313158644682848,0.0436015218091374,2
Meghalaya,East Garo Hills,-1.8486450779497696,-0.1784044645688091,0.0655614935104099,2
Meghalaya,South Garo Hills,-1.9718880179424836,-0.0877894423785446,0.0766706093733394,2
Meghalaya,West Khasi Hills,-1.803999582013394,-0.2112031924867188,0.0613205109922008,2
Meghalaya,Ribhoi,-1.8897128328574395,-0.148217128579192,0.0693268531354751,2
Meghalaya,East Khasi Hills,-1.4563115795550083,-0.4675824064104918,0.0358918275336922,2
Meghalaya,Jaintia Hills,-1.822596162747904,-0.1969962159191843,0.0587314073251142,2
Assam,Kokrajhar,-1.1359061241531958,0.0603190736241368,-0.3280170952071867,2
Assam,Dhubri,-0.5139967619122312,-0.3944799636315748,-0.4037598723446562,2
Assam,Goalpara,-1.0518047438913969,-0.0014998086063929,-0.3357346586868767,2
Assam,Barpeta,-0.6217834016656891,-0.3166570635347887,-0.3826337665997739,2
Assam,Morigaon,-1.0831080544980685,0.021429915406692,-0.3322241094264773,2
Assam,Nagaon,0.2272506276990351,-0.9420253575988742,-0.4502827929170415,1
Assam,Sonitpur,-0.4244398479322485,-0.4624636572035191,-0.394758706171279,2
Assam,Lakhimpur,-0.9756301040216538,-0.0585507119408805,-0.3342651340181506,2
Assam,Dhemaji,-1.245284393367776,0.1401080648702078,-0.3131074476951319,2
Assam,Tinsukia,-0.8091820059165743,-0.1802519716078377,-0.3547076372037641,2
Assam,Dibrugarh,-0.7640158436152505,-0.2143830197076625,-0.3514076495966408,2
Assam,Sivasagar,-0.8664185933258455,-0.1395020019441685,-0.3388914093300143,2
Assam,Jorhat,-0.8979814074594292,-0.1164886840887272,-0.3345007204261745,2
Assam,Golaghat,-0.9461776060711232,-0.0804465443115697,-0.3349962070280273,2
Assam,Karbi Anglong,-1.074329635256006,0.0147850693382725,-0.3314932802969293,2
Assam,Dima Hasao,-1.5692854777444982,0.3781856804335247,-0.2827361020149235,2
Assam,Cachar,-0.4588596105139494,-0.4390930504882293,-0.3761789408715142,2
Assam,Karimganj,-0.8474230115448479,-0.1527611897654568,-0.3462569646488182,2
Assam,Hailakandi,-1.2635037157889009,0.1534916069236081,-0.3113667756553237,2
Assam,Bongaigaon,-1.2199762335685933,0.1217325121902527,-0.317245990940958,2
Assam,Chirang,-1.4071577469137806,0.259499057968065,-0.3014950597585785,2
Assam,Kamrup,-0.6346321994624768,-0.309416854464955,-0.3638388509526097,2
Assam,Kamrup Metropolitan,-0.7288250107342261,-0.2419712483932861,-0.3408824661486648,2
Assam,Nalbari,-1.1560055976774175,0.0738822217272572,-0.3164948981275019,2
Assam,Baksa,-1.0683406355908784,0.0101750174898643,-0.3303820202677655,2
Assam,Darrang,-1.1218414913356416,0.0502762042826856,-0.3316681534689901,2
Assam,Udalguri,-1.16666954595413,0.0827751433044731,-0.3239422780401862,2
West Bengal,Darjiling,-0.2002681441322095,-0.4088701559809062,0.3110957015742496,2
West Bengal,Jalpaiguri,1.1756067071948728,-1.419568610459112,0.1797158637496096,1
West Bengal,Koch Bihar,0.4425454263392103,-0.8807125685389776,0.2468419511883129,1
West Bengal,Uttar Dinajpur,0.3204525531713495,-0.7858796144127663,0.2173822759620977,1
West Bengal,Dakshin Dinajpur,-0.3863041709994347,-0.2707643724329698,0.3173017267823231,2
West Bengal,Maldah,0.9995780112380048,-1.2850120161032537,0.1545821981695741,1
West Bengal,Murshidabad,3.1947059924920764,-2.899165114130192,-0.0418987670082114,3
West Bengal,Birbhum,0.8582297575275573,-1.1850724142512237,0.1991889898322496,1
West Bengal,Barddhaman,4.053583933260613,-3.539190595385115,-0.0511430416808505,3
West Bengal,Nadia,2.174632177992282,-2.1559054775499136,0.1040333635301935,1
West Bengal,North Twenty Four Parganas,6.153090506609661,-5.092640443616287,-0.1622632216293111,3
West Bengal,Hugli,2.6216989233205013,-2.4886056284653706,0.0956365511979979,1
West Bengal,Bankura,0.932593525236959,-1.239912080601112,0.1937909610262873,1
West Bengal,Puruliya,0.3637972689724953,-0.8196901750896316,0.2289877086161171,1
West Bengal,Haora,2.1235582658164276,-2.1217774493695045,0.1360027184214681,1
West Bengal,Kolkata,1.9840655772046072,-2.0213772631627065,0.1658585859335502,1
West Bengal,South Twenty Four Parganas,4.368601824166326,-3.7708707776834567,-0.0790463504355786,3
West Bengal,Paschim Medinipur,2.767271788485855,-2.593024281874384,0.0616203441509916,3
West Bengal,Purba Medinipur,2.383081257619928,-2.3143261170239735,0.126458723683791,1
Jharkhand,Garhwa,-1.0021143680526257,-0.3263940558160335,0.0885118014378867,2
Jharkhand,Chatra,-1.1815547240623905,-0.1947988094014434,0.107397445925754,2
Jharkhand,Kodarma,-1.3657180106708633,-0.060290524413438,0.1311802243305076,2
Jharkhand,Giridih,-0.2692301508456647,-0.8641521943741168,0.0136681753840054,1
Jharkhand,Deoghar,-0.8652848551265795,-0.4273574769702978,0.079045336019098,2
Jharkhand,Godda,-1.0315061773072922,-0.3043269899181925,0.0875123984598752,2
Jharkhand,Sahibganj,-1.156027100569354,-0.2125706216575975,0.0971248104877175,2
Jharkhand,Pakur,-1.3175670099833865,-0.0940773186644793,0.1139217794386659,2
Jharkhand,Dhanbad,0.0677747586246387,-1.115309525856592,0.0102434132582611,1
Jharkhand,Bokaro,-0.4000289267704691,-0.7707344757621327,0.0474571322495724,2
Jharkhand,Lohardaga,-1.528939041509609,0.0594118503495369,0.148344353063307,2
Jharkhand,Purbi Singhbhum,-0.190249711376393,-0.9259168781996576,0.0360686484118656,1
Jharkhand,Palamu,-0.5773668612747132,-0.6385247266975584,0.0488890880511702,2
Jharkhand,Latehar,-1.382760895571828,-0.0472700782781224,0.128804033797627,2
Jharkhand,Hazaribagh,-0.6591853918686257,-0.5796094592214984,0.0661915537289858,2
Jharkhand,Ramgarh,-1.170174107737971,-0.204700339610994,0.1186295253538878,2
Jharkhand,Dumka,-0.9925612615674332,-0.3336271782926008,0.0893221095311056,2
